Product_ID,Product_Name,Supplier_Region,Lead_Time_Days,Order_Volume_Units,Cost_per_Unit,Supply_Risk_Score,Profit_Impact_Score,Environmental_Impact,Single_Source_Risk,Kraljic_Category
P001,Semiconductors,South America,81,171,255.03,5,5,4,Yes,Strategic
P002,Semiconductors,South America,8,763,380.33,5,4,4,Yes,Strategic
P003,Pharma APIs,Asia,65,413,385.24,4,5,5,Yes,Strategic
P004,Semiconductors,South America,70,882,287.64,5,5,5,Yes,Strategic
P005,Lithium Batteries,Asia,15,120,382.26,4,4,4,Yes,Strategic
P006,AI Chips,Asia,84,466,405.27,5,5,5,Yes,Strategic
P007,Lithium Batteries,South America,69,101,398.76,5,4,5,Yes,Strategic
P008,AI Chips,South America,68,369,481.85,5,4,4,No,Strategic
P009,Pharma APIs,Asia,35,978,424.2,3,4,4,Yes,Strategic
P010,Semiconductors,Africa,87,620,204.69,5,5,5,Yes,Strategic
P011,Pharma APIs,Asia,78,872,431.38,5,3,5,Yes,Strategic
P012,Pharma APIs,Africa,41,506,219.07,5,5,5,Yes,Strategic
P013,Lithium Batteries,Africa,33,742,491.51,5,4,4,No,Strategic
P014,Lithium Batteries,Africa,10,991,233.27,3,3,4,Yes,Strategic
P015,AI Chips,Asia,34,754,381.33,5,5,4,Yes,Strategic
P016,AI Chips,South America,68,745,288.69,5,5,5,No,Strategic
P017,Lithium Batteries,Africa,78,732,394.31,5,4,5,Yes,Strategic
P018,Semiconductors,Africa,38,918,266.63,5,5,5,Yes,Strategic
P019,Pharma APIs,South America,9,929,321.15,5,4,4,Yes,Strategic
P020,Lithium Batteries,South America,7,798,499.32,5,3,4,No,Strategic
P021,Semiconductors,Africa,62,829,359.28,5,5,5,Yes,Strategic
P022,Semiconductors,South America,22,936,440.94,5,5,5,No,Strategic
P023,Lithium Batteries,Africa,73,563,352.46,5,5,4,No,Strategic
P024,Semiconductors,Africa,17,919,393.55,4,4,4,Yes,Strategic
P025,Pharma APIs,Africa,66,514,262.72,4,3,5,Yes,Strategic
P026,Lithium Batteries,Africa,25,751,227.93,5,3,4,No,Strategic
P027,Pharma APIs,Africa,31,153,456.9,4,4,5,No,Strategic
P028,Lithium Batteries,Asia,74,805,291.61,4,4,5,Yes,Strategic
P029,Lithium Batteries,Africa,54,603,253.65,4,3,5,No,Strategic
P030,Pharma APIs,South America,60,121,390.9,3,5,5,Yes,Strategic
P031,Pharma APIs,Asia,54,897,438.44,3,3,4,Yes,Strategic
P032,Semiconductors,South America,12,611,430.57,4,4,4,No,Strategic
P033,Semiconductors,Africa,69,448,485.92,5,3,4,Yes,Strategic
P034,Lithium Batteries,Asia,60,355,455.34,4,5,4,Yes,Strategic
P035,AI Chips,Africa,33,725,221.12,4,5,5,Yes,Strategic
P036,AI Chips,Africa,32,492,422.23,4,5,4,No,Strategic
P037,Semiconductors,Asia,22,927,383.45,4,4,5,Yes,Strategic
P038,AI Chips,Africa,57,191,301.4,5,4,5,Yes,Strategic
P039,Lithium Batteries,Asia,21,249,494.55,5,4,5,No,Strategic
P040,AI Chips,Asia,53,363,298.0,5,5,4,Yes,Strategic
P041,Semiconductors,South America,69,368,417.83,5,4,5,Yes,Strategic
P042,Semiconductors,Africa,18,840,223.54,5,4,5,No,Strategic
P043,Lithium Batteries,South America,7,850,474.56,3,4,5,Yes,Strategic
P044,Pharma APIs,Africa,63,680,397.13,4,5,5,No,Strategic
P045,Lithium Batteries,Asia,54,193,213.8,5,5,5,No,Strategic
P046,Lithium Batteries,South America,40,833,251.96,4,4,4,Yes,Strategic
P047,Pharma APIs,Asia,8,541,387.76,3,5,5,No,Strategic
P048,Lithium Batteries,Africa,67,951,390.92,4,4,5,Yes,Strategic
P049,Semiconductors,Africa,18,676,387.78,3,3,4,Yes,Strategic
P050,Semiconductors,South America,80,853,211.69,4,5,4,Yes,Strategic
P051,AI Chips,Asia,42,295,278.21,5,4,5,Yes,Strategic
P052,Lithium Batteries,Africa,42,493,284.61,3,5,4,No,Strategic
P053,AI Chips,Asia,29,762,374.16,5,3,5,Yes,Strategic
P054,Lithium Batteries,Asia,65,980,313.32,4,3,5,Yes,Strategic
P055,Semiconductors,Africa,58,332,203.25,4,5,4,Yes,Strategic
